Date,Open,High,Low,Close,Adj Close,Volume
2006-10-01,1.599000,1.929500,1.529000,1.904500,1.904500,4189700000
2006-11-01,1.906500,2.162500,1.843500,2.017000,2.017000,2936048000
2006-12-01,2.013000,2.032000,1.885000,1.973000,1.973000,2420814000
2007-01-01,1.934000,1.957000,1.815000,1.883500,1.883500,2608706000
2007-02-01,1.897500,2.100000,1.834000,1.957000,1.957000,3159508000
2007-03-01,1.966000,2.012000,1.852000,1.989500,1.989500,2843062000
2007-04-01,1.992500,3.192000,1.977500,3.066500,3.066500,6925740000
2007-05-01,3.056000,3.665500,2.985000,3.457000,3.457000,6604848000
2007-06-01,3.445000,3.736000,3.335500,3.420500,3.420500,4775774000
2007-07-01,3.440500,4.450000,3.400500,3.927000,3.927000,5296556000
2007-08-01,3.905000,4.040000,3.502500,3.995500,3.995500,3510280000
2007-09-01,3.995000,4.713000,3.986500,4.657500,4.657500,2445464000
2007-10-01,4.671000,5.054500,4.163500,4.457500,4.457500,4639770000
2007-11-01,4.387500,4.573500,3.825000,4.528000,4.528000,3603930000
2007-12-01,4.501500,4.797000,4.193000,4.632000,4.632000,2541244000
2008-01-01,4.767500,4.871500,3.442000,3.885000,3.885000,5766708000
2008-02-01,3.951000,3.970000,3.198500,3.223500,3.223500,4224356000
2008-03-01,3.179500,3.846500,3.060000,3.565000,3.565000,3853712000
2008-04-01,3.649500,4.132000,3.532500,3.931500,3.931500,3956988000
2008-05-01,3.920000,4.237500,3.578000,4.081000,4.081000,3051464000
2008-06-01,4.057500,4.244000,3.631000,3.666500,3.666500,3058114000
2008-07-01,3.612000,4.119000,3.149500,3.817000,3.817000,4316266000
2008-08-01,3.818000,4.587500,3.702500,4.040500,4.040500,2980888000
2008-09-01,4.158000,4.338500,3.066000,3.638000,3.638000,3849268000
2008-10-01,3.589000,3.599500,2.165500,2.862000,2.862000,6641494000
2008-11-01,2.817500,2.936500,1.734000,2.135000,2.135000,4561030000
2008-12-01,2.100000,2.742500,1.941000,2.564000,2.564000,4123886000
2009-01-01,2.567500,2.987000,2.381500,2.941000,2.941000,4081446000
2009-02-01,2.928500,3.368000,2.906500,3.239500,3.239500,3735604000
